5,120 Đại Cồ Việt - 242 Xã Đàn,28,0102000020E610000013000000BBC6375A1D765A40FEC0AB510F0235406A158B9510765A40F3D1A9380A023540E3E8628B0C765A40FF565D560C0235409E579B69F5755A407E8C629A0002354065A3B4B2EB755A404391B3B7FD01354018E566C0DD755A40E929704BFE01354057B0EEA5D5755A40FD33D786020235402D6779B1CB755A406E791E250C0235401E1BCACAC4755A40BCCD1D1C170235405AF3F2DDBD755A40A709C37F26023540F1BB6F34B2755A4019B89C8C4D02354082698768A7755A40FFD72041780235404DBEE425A5755A408F89FC687E02354016B69415A1755A40E8364C74910235400BFC397A9D755A406BD5E326A30235406EC5AA3495755A40C5EBC5A0D3023540161C1F1D93755A40E0C9C9D2DD02354041542FF08A755A407869EB8603033540530669DE83755A40ECF43EC420033540,go,5,4
6,242 Xã Đàn - 94 Ô Chợ Dừa,28,0102000020E61000000E000000CA012EDF83755A409AD066CA20033540D5E506E452755A400255CBDFEE033540EDB2A5F44A755A405E748A930F04354099229D853F755A40017EFA42380435408C66607033755A40864739725E043540EEB8E10127755A40460C278487043540DFB5DCC021755A4005A66D199C043540A85EA3D719755A40EF538225B9043540CCE59C8315755A401106234EC9043540DD97D6710E755A40134C2FEDDC043540B1B14D7E08755A4049349A5AEB043540549E736B03755A40BCC8CAD1F80435400DBB246AFA745A40F79F37580C0535406574EFB5EB745A403F1FDECB2B053540,go,6,5
7,94 Ô Chợ Dừa - 35 Hoàng Cầu,28,0102000020E610000007000000D2B74BB5EB745A40676686D72B053540D2B74BB5EB745A40676686D72B053540E758231EDC745A40B68842164E0535406D461C63DA745A406E1AFAAE540535403853825AD7745A40BD0D0F8C5A0535407EC3D02CD5745A40A570156C4A053540A459EABEBB745A405E9F821885043540,go,7,6
8,35 Hoàng Cầu - 105 Hoàng Cầu,28,0102000020E61000000B000000824BB4ABBB745A40FFB5A1A984043540469D932BB8745A402B54D5B569043540511486F4B4745A40B4ABDC4F51043540D9CB7721B2745A4062C09668420435408B16B9E2AE745A403205E1793A04354037DF6FFCAB745A4013E983AE37043540878E68F590745A40C9C0E7F536043540A7120B5C8E745A40105C612835043540D21E4A498C745A40E32DCEBF2F04354092E3064386745A40D7BBAD8F17043540D6C1E82577745A405EE811F9D8033540,go,8,7
9,105 Hoàng Cầu - 48 Hoàng Cầu,28,0102000020E6100000050000006EB8722277745A407D52FDE5D80335407F8F73F565745A40C9D3C51F8F033540B28DEAB168745A40A9B03E0F87033540C41C5D0B85745A4051397F34FF0335404B3518BA88745A40A02116C20E043540,return,9,8
10,48 Hoàng Cầu - 34 Hoàng Cầu,28,0102000020E61000000C00000069D8A0D288745A404C94FF680F043540C776083D8C745A4004A0C2041E043540D2824BEA90745A403FC40BBD28043540FD14B09E94745A406556B0FE2C043540CBCB9D5A96745A4012C48B412E04354008086DA2AC745A402E4AEDD52D043540C4BE5A93B0745A40A8F497B833043540BA81CB1FB3745A40AA005B803904354034A6941EB6745A405986BC5246043540F91FF366BA745A4047C20B8966043540116985FABB745A40EEE6540364043540D5E2E342C0745A40C89CC28A83043540,return,10,9
11,34 Hoàng Cầu - 109 Ô Chợ Dừa,28,0102000020E6100000060000005A444C4BC0745A407F0A1EB3830435400BFBB18BC5745A40EBF0871BA904354055CA65F1C3745A406315F160AC04354021A57CD8D7745A40B9DF8418460535409106D57FDA745A4028F80A6A440535403E1E5B18F1745A40EE423D4C11053540,return,11,10
12,109 Ô Chợ Dừa - 253 Xã Đàn,28,0102000020E61000000A0000004FE12B29F1745A40AE73C93E11053540AFC8C5A2F8745A40EF1E74DAFE043540470595E103755A403C818C78E60435407F5A2A6007755A402DB298E6E0043540BDAF7F510A755A40396906E9DA0435405EA35CD90F755A40E9EF2748C8043540F1D3A8DD15755A40D476097BAE043540467290621A755A40DB092E2697043540834D677E20755A40183BFA3288043540CC7D539D2F755A406BB658ED5B043540,return,12,11
13,253 Xã Đàn - 165 Xã Đàn,28,0102000020E610000004000000074DC7AA2F755A40787989B75B043540CC64CDF342755A40E656C0211D0435403089D6B448755A40A81AF1D9060435400AA13C8259755A40FCA2D2E8C0033540,return,13,12
14,165 Xã Đàn - 65 Đại Cồ Việt,28,0102000020E610000014000000E5576A9659755A4091C71B98C00335401993F96B90755A4027DB5E1ED902354031620D2A95755A40E418EE7FC0023540CC18BBF79C755A408FE921DC930235409BDB6B7BA4755A4065587DB4700235402BCFA8F1AB755A4061DF5EB254023540EE48A780B0755A407D4137624202354043AA1FBEB6755A400336F40C2C023540AE91391DBD755A40642AB1211A023540BE602DAFC2755A4081D55B270C023540E83B0400CB755A406B740377FE0135404154CA13CC755A4021D69BD7F80135403A23FE67D4755A408FE25E61F10135402A2FC164DC755A402C814612ED0135404147A778E5755A40D3A58F8CEA013540F48F5976F3755A40DD2BF155EC013540FD82B6C00B765A4057E25E00F801354085F0916D11765A403D68C033FE0135402539E4E621765A403974C388040235401D141B9030765A406A12AB770D023540,return,14,13
15,65 Đại Cồ Việt - 120 Đại Cồ Việt,28,0102000020E6100000090000008BEF319A30765A40B4A44F4F0D023540D0D64B633B765A40661EAECC130235401375331D42765A40672A719419023540E0FA74594B765A40A6C898DB2002354046137BC54A765A409B1DEEA02C0235400F2C010E3E765A40CCD45B39220235401CA65F8239765A40F0D45BCF1D023540A7B202762E765A4091B01281170235409F8E59651D765A404C4F3A550F023540,return,4,14
